employee_id,name,department,salary,hire_date,status,email,years_experience
1,  Employee_1  ,SALES,54184.0,15-03-2021,,emp1@company.com,1.0
2,Employee_2,Sales,85990.0,Nov 30 2019,Inactive,emp2@company.com,0.0
3,  Employee_3  ,SALES,66853.0,March 15 2021,ACTIVE,emp3@company.com,
4,  Employee_4  ,Marketing,,03/15/2021,Inactive,emp4@company.com,23.0
5,Employee_5,sales,43233.0,03/15/2021,Active,emp5@company.com,23.0
6,Employee_6,SALES,118132.0,03/15/2021,active,emp6@company.com,29.0
7,Employee_7,SALES,171001.0,2021-03-15,Active,emp7@company.com,4.0
8,  Employee_8  ,SALES,,30/11/2019,Inactive,emp8@company.com,35.0
9,Employee_9,HR,178245.0,March 15 2021,active,emp9@company.com,
10,Employee_10,marketing,65066.0,03/15/2021,,emp10@company.com,
11,  Employee_11  ,Sales,28009.0,Nov 30 2019,ACTIVE,emp11@company.com,29.0
12,Employee_12,marketing,9999999.0,03/15/2021,ACTIVE,emp12@company.com,12.0
13,  Employee_13  ,marketing,67349.0,2021-03-15,Inactive,emp13@company.com,19.0
14,Employee_14,Sales,,30/11/2019,,emp14@company.com,-2.0
15,Employee_15,marketing,68287.0,March 15 2021,active,emp15@company.com,23.0
16,Employee_16,sales,160679.0,not-a-date,,emp16@company.com,4.0
17,Employee_17,Sales,40433.0,03/15/2021,ACTIVE,emp17@company.com,8.0
18,Employee_18,sales,174695.0,2019-11-30,Active,emp18@company.com,26.0
19,Employee_19,Marketing,39200.0,2019-11-30,Active,emp19@company.com,28.0
20,  Employee_20  ,sales,73100.0,03/15/2021,,emp20@company.com,
21,Employee_21,marketing,-500.0,2019-11-30,active,emp21@company.com,10.0
22,Employee_22,marketing,127346.0,2020-07-04,,emp22@company.com,12.0
23,Employee_23,HR,40331.0,07/04/2020,,emp23@company.com,33.0
24,Employee_24,sales,158124.0,03/15/2021,active,emp24@company.com,15.0
25,Employee_25,Engineering,35418.0,Nov 30 2019,ACTIVE,emp25@company.com,15.0
26,Employee_26,SALES,59308.0,not-a-date,,emp26@company.com,4.0
27,Employee_27,SALES,157614.0,March 15 2021,active,emp27@company.com,19.0
28,Employee_28,marketing,163658.0,03/15/2021,active,emp28@company.com,35.0
29,Employee_29,Marketing,98860.0,2020-07-04,ACTIVE,emp29@company.com,5.0
30,Employee_30,SALES,97530.0,2020-07-04,Inactive,emp30@company.com,0.0
31,  Employee_31  ,marketing,64073.0,Nov 30 2019,active,emp31@company.com,
32,Employee_32,Marketing,80070.0,Nov 30 2019,Inactive,emp32@company.com,
33,Employee_33,Sales,,07/04/2020,Inactive,emp33@company.com,15.0
34,Employee_34,Sales,53336.0,March 15 2021,Inactive,emp34@company.com,14.0
35,Employee_35,SALES,75627.0,2020-07-04,,emp35@company.com,34.0
36,Employee_36,SALES,32235.0,not-a-date,,emp36@company.com,20.0
37,Employee_37,HR,159066.0,2021-03-15,Active,emp37@company.com,12.0
38,Employee_38,SALES,-500.0,03/15/2021,ACTIVE,emp38@company.com,20.0
39,Employee_39,sales,102504.0,2019-11-30,active,emp39@company.com,
40,Employee_40,Engineering,104658.0,07/04/2020,Inactive,emp40@company.com,10.0
41,Employee_41,Marketing,99392.0,03/15/2021,active,emp41@company.com,12.0
42,  Employee_42  ,Engineering,37114.0,03/15/2021,,emp42@company.com,31.0
43,  Employee_43  ,Sales,63684.0,03/15/2021,active,emp43@company.com,33.0
44,Employee_44,marketing,171120.0,15-03-2021,,emp44@company.com,28.0
45,Employee_45,HR,157324.0,15-03-2021,Inactive,emp45@company.com,17.0
46,Employee_46,sales,161655.0,03/15/2021,active,emp46@company.com,34.0
47,Employee_47,Marketing,64539.0,March 15 2021,Inactive,emp47@company.com,3.0
48,Employee_48,marketing,135138.0,2021-03-15,,,19.0
49,Employee_49,Marketing,134843.0,March 15 2021,ACTIVE,,25.0
50,  Employee_50  ,HR,-500.0,2019-11-30,Active,emp50@company.com,29.0
51,Employee_51,sales,93198.0,07/04/2020,Inactive,emp51@company.com,26.0
52,Employee_52,Marketing,46471.0,07/04/2020,Active,emp52@company.com,-2.0
53,Employee_53,HR,,15-03-2021,Active,emp53@company.com,16.0
54,Employee_54,Marketing,68984.0,15-03-2021,Active,emp54@company.com,24.0
55,Employee_55,Marketing,76990.0,March 15 2021,ACTIVE,emp55@company.com,7.0
56,  Employee_56  ,SALES,173355.0,07/04/2020,ACTIVE,emp56@company.com,31.0
57,Employee_57,marketing,119945.0,15-03-2021,,emp57@company.com,34.0
58,Employee_58,Marketing,146863.0,07/04/2020,Active,emp58@company.com,29.0
59,Employee_59,Engineering,124349.0,15-03-2021,ACTIVE,emp59@company.com,17.0
60,Employee_60,Sales,-500.0,2019-11-30,active,emp60@company.com,31.0
61,Employee_61,sales,29520.0,March 15 2021,,emp61@company.com,22.0
62,Employee_62,Marketing,169281.0,2020-07-04,Active,emp62@company.com,-5.0
63,Employee_63,Marketing,73535.0,Nov 30 2019,Active,emp63@company.com,23.0
64,Employee_64,sales,28708.0,2021-03-15,active,emp64@company.com,
65,Employee_65,Engineering,175487.0,15-03-2021,ACTIVE,emp65@company.com,4.0
66,  Employee_66  ,Marketing,44420.0,15-03-2021,ACTIVE,emp66@company.com,35.0
67,Employee_67,Engineering,84162.0,30/11/2019,,emp67@company.com,3.0
68,Employee_68,sales,-500.0,2020-07-04,active,emp68@company.com,10.0
